long,lat,group,order,region,subregion,lat_trunc,long_trunc
-73.384429931640625,43.59062957763672,2,205,new york,main,43.6,-73.4
-73.36724853515625,43.613548278808594,2,206,new york,main,43.6,-73.4
-73.344329833984375,43.625003814697266,2,207,new york,main,43.6,-73.3
-73.3214111328125,43.61927795410156,2,208,new york,main,43.6,-73.3
-73.3042221069336,43.607818603515625,2,209,new york,main,43.6,-73.3
-73.28702545166016,43.58489990234375,2,210,new york,main,43.6,-73.3
-73.27557373046875,43.567710876464844,2,211,new york,main,43.6,-73.3
-73.26411437988281,43.556251525878906,2,212,new york,main,43.6,-73.3
-73.25838470458984,43.54479217529297,2,213,new york,main,43.5,-73.3
-73.26411437988281,43.48749542236328,2,214,new york,main,43.5,-73.3
-73.25838470458984,43.453121185302734,2,215,new york,main,43.5,-73.3
-73.25838470458984,43.38436508178711,2,216,new york,main,43.4,-73.3
-73.26984405517578,43.315608978271484,2,217,new york,main,43.3,-73.3
-73.28130340576172,43.18955612182617,2,218,new york,main,43.2,-73.3
-73.27557373046875,43.160911560058594,2,219,new york,main,43.2,-73.3
-73.26984405517578,43.109344482421875,2,220,new york,main,43.1,-73.3
-73.27557373046875,43.07496643066406,2,221,new york,main,43.1,-73.3
-73.28130340576172,42.994754791259766,2,222,new york,main,43,-73.3
-73.28130340576172,42.94318389892578,2,223,new york,main,42.9,-73.3
-73.28130340576172,42.8973503112793,2,224,new york,main,42.9,-73.3
-73.27557373046875,42.84005355834961,2,225,new york,main,42.8,-73.3
-73.28130340576172,42.817138671875,2,226,new york,main,42.8,-73.3
-73.28130340576172,42.788490295410156,2,227,new york,main,42.8,-73.3
-73.28130340576172,42.742652893066406,2,228,new york,main,42.7,-73.3
-73.27557373046875,42.702545166015625,2,229,new york,main,42.7,-73.3
-73.31568145751953,42.59941101074219,2,230,new york,main,42.6,-73.3
-73.35005950927734,42.513465881347656,2,231,new york,main,42.5,-73.4
-73.37870025634766,42.456172943115234,2,232,new york,main,42.5,-73.4
-73.41880798339844,42.32439041137695,2,233,new york,main,42.3,-73.4
-73.476104736328125,42.17542266845703,2,234,new york,main,42.2,-73.5
-73.50475311279297,42.095211029052734,2,235,new york,main,42.1,-73.5
-73.4990234375,42.049373626708984,2,236,new york,main,42,-73.5
-73.53340911865234,41.67694854736328,2,237,new york,main,41.7,-73.5
-73.54486083984375,41.53371047973633,2,238,new york,main,41.5,-73.5
-73.55632019042969,41.3675537109375,2,239,new york,main,41.4,-73.6
-73.56204986572266,41.304527282714844,2,240,new york,main,41.3,-73.6
-73.4990234375,41.21858215332031,2,241,new york,main,41.2,-73.5
-73.53913116455078,41.19566345214844,2,242,new york,main,41.2,-73.5
-73.72248077392578,41.109718322753906,2,243,new york,main,41.1,-73.7
-73.67091369628906,41.023780822753906,2,244,new york,main,41,-73.7
-73.68810272216797,40.97220993041992,2,245,new york,main,41,-73.7
-73.699554443359375,40.95502471923828,2,246,new york,main,41,-73.7
-73.72248077392578,40.937835693359375,2,247,new york,main,40.9,-73.7
-73.745391845703125,40.9149169921875,2,248,new york,main,40.9,-73.7
-73.76258850097656,40.897727966308594,2,249,new york,main,40.9,-73.8
-73.80842590332031,40.886268615722656,2,250,new york,main,40.9,-73.8
-73.82560729980469,40.86907958984375,2,251,new york,main,40.9,-73.8
-73.81988525390625,40.85762023925781,2,252,new york,main,40.9,-73.8
-73.81988525390625,40.8232421875,2,253,new york,main,40.8,-73.8
